ALNC,20101105,30.99,31.35,30.45,31.35,12600
ALNY,20101105,13.53,13.64,12.64,12.9,270400
ALOG,20101105,47.25,47.52,46.64,46.83,52800
ALOT,20101105,7.07,7.21,7.05,7.21,1300
ALOY,20101105,9.75,9.78,9.74,9.76,50900
ALRN,20101105,1.09,1.2,1.04,1.19,8200
ALSK,20101105,10.56,10.66,10.44,10.65,317100
ALTE,20101105,19.86,19.93,19.65,19.76,560400
ALTH,20101105,3.79,4.38,3.76,4.34,3251700
ALTI,20101105,0.59,0.63,0.59,0.62,374800
ALTR,20101105,32.95,33.25,32.73,33.25,5931400
ALVR,20101105,2.68,2.71,2.6,2.65,277900
ALXA,20101105,1.02,1.02,0.96,0.97,798800
ALXN,20101105,72.71,72.88,71.9,72.72,1166600
AMAC,20101105,5.7,5.74,5.64,5.7,24800
AMAG,20101105,16.51,16.8,16.22,16.49,337600
AMAP,20101105,21.82,22.07,21.15,21.41,100600
AMAT,20101105,12.9,13.06,12.86,12.98,15163500
AMCC,20101105,10.82,10.95,10.73,10.88,1151500
AMCF,20101105,5.17,5.28,5.15,5.21,81600
AMCN,20101105,6.8,7.05,6.75,7.02,399700
AMED,20101105,27.2,27.61,27.01,27.22,253500
AMGN,20101105,56.02,56.09,54.88,55.42,6902300
AMIE,20101105,1.83,1.88,1.8,1.86,4100
AMKR,20101105,6.44,6.82,6.38,6.79,6883900
AMLN,20101105,12.99,13.12,12.7,13.05,3321700
AMMD,20101105,19.79,20,19.26,19.46,1548200
AMNB,20101105,24.31,24.42,23.5,24.03,17900
AMOT,20101105,5.32,5.75,5.32,5.7,61500
AMOV,20101105,58.25,59.68,58.25,59.68,23500
AMPH,20101105,32.48,32.49,32.41,32.46,25200
AMPL,20101105,2.57,2.57,2.46,2.5,29700
AMRB,20101105,5.91,6,5.9,5.99,26200
AMRI,20101105,6.66,6.66,6.46,6.46,41500
AMRN,20101105,2.97,3.02,2.91,3.01,792900
AMRS,20101105,17.38,17.38,17.21,17.3,103700
AMSC,20101105,37,37.5,36.7,36.99,497200
AMSF,20101105,18.49,18.91,18.31,18.32,838700
AMSG,20101105,18.87,19.04,18.73,18.93,65000
AMSWA,20101105,6.46,6.55,6.35,6.51,84300
AMTD,20101105,17.49,17.77,17.49,17.72,2374100
